#SampleID	BarcodeSequence	LinkerPrimerSequence	MiSeq_FASTQ_files	elevation	environment_biome	SRA	BioSample	environment_material	environment_feature	Accession	Description
Run20130718_NF-2_(2012)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc220	1025 ft	soil microbial community	SRS631718	SAMN02837986	soil	forest	SAMN02837986	DESCRIPTION_PH2837986
Run20130718_NF-8_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc1368	1025 ft	soil microbial community	SRS631707	SAMN02837940	soil	forest	SAMN02837940	DESCRIPTION_PH2837940
Run20130718_NF-3_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc30	1025 ft	soil microbial community	SRS631701	SAMN02837935	soil	forest	SAMN02837935	DESCRIPTION_PH2837935
Run20130724_VF-2_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc422	1053 ft	soil microbial community	SRS631734	SAMN02837992	soil	forest	SAMN02837992	DESCRIPTION_PH2837992
Run20130311_NF-4_(2011)	BARCODE_PH	LINKER_PH	Run20130308_806rcbc160;Run20130311_806rcbc160	1025 ft	soil microbial community	SRS631669	SAMN02837936	soil	forest	SAMN02837936	DESCRIPTION_PH2837936
Run20130724_VF-8_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc1637	1053 ft	soil microbial community	SRS631742	SAMN02837998	soil	forest	SAMN02837998	DESCRIPTION_PH2837998
Run20130718_NG-6_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc360	1043 ft	soil microbial community	SRS631704	SAMN02837950	soil	grassland	SAMN02837950	DESCRIPTION_PH2837950
Run20130311_VF-10_(2011)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc4	1053 ft	soil microbial community	SRS631678	SAMN02837966	soil	forest	SAMN02837966	DESCRIPTION_PH2837966
Run20130311_VG-1_(2012)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc139	1014 ft	soil microbial community	SRS631681	SAMN02838006	soil	grassland	SAMN02838006	DESCRIPTION_PH2838006
Run20130722_VF-6_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc360	1053 ft	soil microbial community	SRS631727	SAMN02837962	soil	forest	SAMN02837962	DESCRIPTION_PH2837962
Run20130724_VG-6_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc630	1014 ft	soil microbial community	SRS631740	SAMN02838011	soil	grassland	SAMN02838011	DESCRIPTION_PH2838011
Run20130724_VF-11b_(2011)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc139	1053 ft	soil microbial community	SRS631749	SAMN02837968	soil	forest	SAMN02837968	DESCRIPTION_PH2837968
Run20130724_VF-5_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc158	1053 ft	soil microbial community	SRS631738	SAMN02837995	soil	forest	SAMN02837995	DESCRIPTION_PH2837995
Run20130311_VG-10_(2012)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc426	1014 ft	soil microbial community	SRS631687	SAMN02838015	soil	grassland	SAMN02838015	DESCRIPTION_PH2838015
Run20130718_NG-3_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc829	1043 ft	soil microbial community	SRS631700	SAMN02837947	soil	grassland	SAMN02837947	DESCRIPTION_PH2837947
Run20130311_VG-4_(2012)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc220	1014 ft	soil microbial community	SRS631683	SAMN02838009	soil	grassland	SAMN02838009	DESCRIPTION_PH2838009
Run20130404_VF-10-1_(2012)	BARCODE_PH	LINKER_PH	Run20130404_806rcbc422	1053 ft	soil microbial community	SRS631689	SAMN02838001	soil	forest	SAMN02838001	DESCRIPTION_PH2838001
Run20130718_NG-5_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc158	1043 ft	soil microbial community	SRS631702	SAMN02837949	soil	grassland	SAMN02837949	DESCRIPTION_PH2837949
Run20130724_VF-7_(2012)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc288;Run20130724_806rcbc1197	1053 ft	soil microbial community	SRS631684	SAMN02837997	soil	forest	SAMN02837997	DESCRIPTION_PH2837997
Run20130722_VF-8_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc1197	1053 ft	soil microbial community	SRS631728	SAMN02837964	soil	forest	SAMN02837964	DESCRIPTION_PH2837964
Run20130722_VG-12_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc2	1014 ft	soil microbial community	SRS631732	SAMN02837984	soil	grassland	SAMN02837984	DESCRIPTION_PH2837984
Run20130311_NF-10_(2011)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc2	1025 ft	soil microbial community	SRS631677	SAMN02837942	soil	forest	SAMN02837942	DESCRIPTION_PH2837942
Run20130718_NF-11a_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc2	1025 ft	soil microbial community	SRS631711	SAMN02837943	soil	forest	SAMN02837943	DESCRIPTION_PH2837943
Run20130724_VF-11a_(2011)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc131	1053 ft	soil microbial community	SRS631747	SAMN02837967	soil	forest	SAMN02837967	DESCRIPTION_PH2837967
Run20130724_VG-2_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc760	1014 ft	soil microbial community	SRS631735	SAMN02838007	soil	grassland	SAMN02838007	DESCRIPTION_PH2838007
Run20130722_VF-9_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc1637	1053 ft	soil microbial community	SRS631731	SAMN02837965	soil	forest	SAMN02837965	DESCRIPTION_PH2837965
Run20130724_VF-6_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc360	1053 ft	soil microbial community	SRS631741	SAMN02837996	soil	forest	SAMN02837996	DESCRIPTION_PH2837996
Run20130718_NG-2_(2012)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc186	1043 ft	soil microbial community	SRS631716	SAMN02837989	soil	grassland	SAMN02837989	DESCRIPTION_PH2837989
Run20130311_NF-7_(2011)	BARCODE_PH	LINKER_PH	Run20130308_806rcbc1368;Run20130311_806rcbc1368	1025 ft	soil microbial community	SRS631673	SAMN02837939	soil	forest	SAMN02837939	DESCRIPTION_PH2837939
Run20130718_NG-8_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc1197	1043 ft	soil microbial community	SRS631706	SAMN02837952	soil	grassland	SAMN02837952	DESCRIPTION_PH2837952
Run20130722_VG-5_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc160	1014 ft	soil microbial community	SRS631725	SAMN02837975	soil	grassland	SAMN02837975	DESCRIPTION_PH2837975
